,Reference,Name,Dates,Net_Incomes,Units_sold
20,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-03,0.0,0.0
21,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-04,0.0,0.0
22,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-05,0.0,0.0
23,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-06,0.0,0.0
24,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-07,0.0,0.0
25,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-08,0.0,0.0
26,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-09,0.0,0.0
27,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-10,0.0,0.0
28,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-11,0.0,0.0
29,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-12,0.0,0.0
30,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-13,0.0,0.0
31,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-14,0.0,0.0
32,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-15,0.0,0.0
33,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-16,0.0,0.0
34,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-17,0.0,0.0
35,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-18,0.0,0.0
36,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-19,0.0,0.0
37,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-20,0.0,0.0
38,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-21,0.0,0.0
39,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-22,0.0,0.0
40,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-23,0.0,0.0
0,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-24,170.33,9.0
41,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-25,0.0,0.0
42,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-26,0.0,0.0
43,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-27,0.0,0.0
1,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-28,17.03,1.0
44,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-29,0.0,0.0
2,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-09-30,18.93,1.0
45,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-01,0.0,0.0
46,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-02,0.0,0.0
47,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-03,0.0,0.0
48,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-04,0.0,0.0
49,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-05,0.0,0.0
50,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-06,0.0,0.0
51,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-07,0.0,0.0
52,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-08,0.0,0.0
53,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-09,0.0,0.0
54,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-10,0.0,0.0
55,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-11,0.0,0.0
56,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-12,0.0,0.0
57,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-13,0.0,0.0
58,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-14,0.0,0.0
59,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-15,0.0,0.0
60,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-16,0.0,0.0
61,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-17,0.0,0.0
62,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-18,0.0,0.0
63,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-19,0.0,0.0
64,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-20,0.0,0.0
65,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-21,0.0,0.0
66,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-22,0.0,0.0
67,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-23,0.0,0.0
68,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-24,0.0,0.0
69,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-25,0.0,0.0
70,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-26,0.0,0.0
71,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-27,0.0,0.0
72,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-28,0.0,0.0
3,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-29,18.93,1.0
73,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-30,0.0,0.0
74,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-10-31,0.0,0.0
4,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-01,18.93,1.0
75,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-02,0.0,0.0
5,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-03,18.93,1.0
76,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-04,0.0,0.0
77,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-05,0.0,0.0
78,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-06,0.0,0.0
79,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-07,0.0,0.0
80,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-08,0.0,0.0
81,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-09,0.0,0.0
82,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-10,0.0,0.0
83,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-11,0.0,0.0
84,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-12,0.0,0.0
85,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-13,0.0,0.0
86,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-14,0.0,0.0
87,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-15,0.0,0.0
88,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-16,0.0,0.0
89,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-17,0.0,0.0
90,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-18,0.0,0.0
91,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-19,0.0,0.0
92,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-20,0.0,0.0
93,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-21,0.0,0.0
6,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-22,17.02,1.0
94,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-23,0.0,0.0
95,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-24,0.0,0.0
96,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-25,0.0,0.0
97,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-26,0.0,0.0
98,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-27,0.0,0.0
99,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-28,0.0,0.0
100,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-29,0.0,0.0
101,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-11-30,0.0,0.0
102,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-01,0.0,0.0
7,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-02,37.85,2.0
103,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-03,0.0,0.0
104,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-04,0.0,0.0
105,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-05,0.0,0.0
106,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-06,0.0,0.0
107,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-07,0.0,0.0
108,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-08,0.0,0.0
109,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-09,0.0,0.0
110,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-10,0.0,0.0
111,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-11,0.0,0.0
8,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-12,37.85,2.0
112,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-13,0.0,0.0
113,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-14,0.0,0.0
114,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-15,0.0,0.0
115,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-16,0.0,0.0
116,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-17,0.0,0.0
117,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-18,0.0,0.0
118,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-19,0.0,0.0
119,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-20,0.0,0.0
9,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-21,18.93,1.0
120,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-22,0.0,0.0
121,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-23,0.0,0.0
122,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-24,0.0,0.0
123,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-25,0.0,0.0
124,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-26,0.0,0.0
125,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-27,0.0,0.0
126,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-28,0.0,0.0
127,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-29,0.0,0.0
128,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-30,0.0,0.0
129,89040.0,ALFOMBRA NATURAL BAMBÚ,2018-12-31,0.0,0.0
130,89040.0,ALFOMBRA NATURAL BAMBÚ,2019-01-01,0.0,0.0
131,89040.0,ALFOMBRA NATURAL BAMBÚ,2019-01-02,0.0,0.0
132,89040.0,ALFOMBRA NATURAL BAMBÚ,2019-01-03,0.0,0.0
133,89040.0,ALFOMBRA NATURAL BAMBÚ,2019-01-04,0.0,0.0
134,89040.0,ALFOMBRA NATURAL BAMBÚ,2019-01-05,0.0,0.0
135,89040.0,ALFOMBRA NATURAL BAMBÚ,2019-01-06,0.0,0.0
